Numero;Equipo 1;Resultado;Equipo 2;Fecha;Hora;Estadio;Fase
1;México ;;Sudáfrica;11/06/2026;21:00;Estadio Azteca;Grupo A
2;Corea del Sur ;;;12/06/2026;4:00;Estadio Chivas;Grupo A
3;Canadá ;;;12/06/2026;21:00;Estadio Nacional de Canadá;Grupo B
4;Estados Unidos ;;Paraguay;13/06/2026;3:00;SoFi Stadium;Grupo D
5;Haití ;;Escocia;14/06/2026;3:00;MetLife Stadium;Grupo C
6;Australia ;;;14/06/2026;6:00;Estadio BC Place;Grupo D
7;Brasil ;;Marruecos;14/06/2026;0:00;Gillette Stadium;Grupo C
8;Catar ;;Suiza;13/06/2026;21:00;Levi's Stadium;Grupo B
9;Costa de Marfil ;;Ecuador;15/06/2026;1:00;Lincoln Financial Field;Grupo E
10;Alemania ;;Curazao;14/06/2026;19:00;NRG Stadium;Grupo E
11;Países Bajos ;;Japón;14/06/2026;22:00;AT&T Stadium;Grupo F
12;;;Túnez;15/06/2026;4:00;Estadio Monterrey;Grupo F
13;Arabia Saudita ;;Uruguay;16/06/2026;0:00;Hard Rock Stadium;Grupo H
14;España ;;Cabo Verde;15/06/2026;20:00;Mercedes-Benz Stadium;Grupo H
15;Irán ;;Nueva Zelanda;16/06/2026;3:00;Lumen Field;Grupo G
16;Bélgica ;;Egipto;15/06/2026;21:00;SoFi Stadium;Grupo G
17;Francia ;;Senegal;16/06/2026;21:00;MetLife Stadium;Grupo I
18;;;Noruega;17/06/2026;0:00;Gillette Stadium;Grupo I
19;Argentina ;;Argelia;17/06/2026;3:00;Arrowhead Stadium;Grupo J
20;Austria ;;Jordania;17/06/2026;6:00;Levi's Stadium;Grupo J
21;Ghana ;;Panamá;18/06/2026;2:00;AT&T Stadium;Grupo L
22;Inglaterra ;;Croacia;17/06/2026;21:00;Estadio Nacional de Canadá;Grupo L
23;Portugal ;;;17/06/2026;19:00;NRG Stadium;Grupo K
24;Uzbekistán ;;Colombia;18/06/2026;4:00;Estadio Azteca;Grupo K
25;;;Sudáfrica;18/06/2026;18:00;Mercedes-Benz Stadium;Grupo A
26;Suiza ;;;18/06/2026;21:00;SoFi Stadium;Grupo B
27;Canadá ;;Catar;19/06/2026;0:00;Estadio BC Place;Grupo B
28;México ;;Corea del Sur;19/06/2026;3:00;Estadio Chivas;Grupo A
29;Brasil ;;Haití;20/06/2026;3:00;Lincoln Financial Field;Grupo C
30;Escocia ;;Marruecos;20/06/2026;0:00;Gillette Stadium;Grupo C
31;;;Paraguay;20/06/2026;6:00;Levi's Stadium;Grupo D
32;Estados Unidos ;;Australia;19/06/2026;21:00;Lumen Field;Grupo D
33;Alemania ;;Costa de Marfil;20/06/2026;22:00;Estadio Nacional de Canadá;Grupo E
34;Ecuador ;;Curazao;21/06/2026;2:00;Arrowhead Stadium;Grupo E
35;Países Bajos ;;;20/06/2026;19:00;NRG Stadium;Grupo F
36;Túnez ;;Japón;21/06/2026;6:00;Estadio Monterrey;Grupo F
37;Uruguay ;;Cabo Verde;22/06/2026;0:00;Mercedes-Benz Stadium;Grupo H
38;España ;;Arabia Saudita;21/06/2026;18:00;Hard Rock Stadium;Grupo H
39;Bélgica ;;Irán;21/06/2026;21:00;SoFi Stadium;Grupo G
40;Nueva Zelanda ;;Egipto;22/06/2026;3:00;Estadio BC Place;Grupo G
41;Noruega ;;Senegal;23/06/2026;2:00;Lincoln Financial Field;Grupo I
42;Francia ;;;22/06/2026;23:00;MetLife Stadium;Grupo I
43;Argentina ;;Austria;22/06/2026;19:00;AT&T Stadium;Grupo J
44;Jordania ;;Argelia;23/06/2026;5:00;Levi's Stadium;Grupo J
